concurrency,valid,wall_s,queries_per_s,output_tok_per_s,usd_per_attempted,e2e_p50,e2e_p95,e2e_p99,ttft_p95,tpot_p50,workflow_failure_rate,infra_failure_rate,sm_clock_mhz_mean,power_w_mean,run_dir
1,True,202.45973631739616,0.4840468617738659,84.42172409631547,0.0007817195374477241,1.9969274206086993,2.7232096241787076,3.061286377720535,0.04257364757359028,0.011416477461655935,0.02,0.0,1342.6973684210527,297.2261842105263,B0-offline-n100-c1-rep2
2,True,105.9201087038964,0.925225636559368,161.42355034583747,0.00040896930860671106,2.095622058957815,3.0045890687033534,3.257169958204031,0.06108238082379103,0.011876660940420425,0.02,0.0,1343.2914572864322,296.1753266331658,B0-offline-n100-c2-rep2
4,True,56.34492740780115,1.7392870043245732,302.0147648223598,0.00021755402526900999,2.160163684748113,3.0096505554392934,3.4379300326108932,0.07582838740199804,0.012493900123837531,0.02,0.0,1319.1509433962265,295.77188679245285,B0-offline-n100-c4-rep2
8,True,30.432858905754983,3.2202035406363936,564.422818546034,0.0001175046496638873,2.3430627416819334,3.242196386680007,3.623884209431708,0.08700365945696831,0.013171365775167943,0.02,0.0,1298.5344827586207,300.64827586206894,B0-offline-n100-c8-rep2
16,True,18.565320985391736,5.278659069622984,924.9503422812845,7.168276713804032e-05,2.7754804361611605,3.7564416797831655,4.15988212544471,0.2560003148391843,0.015370405249057277,0.02,0.0,1270.7142857142858,294.9574285714286,B0-offline-n100-c16-rep2
32,True,12.927906998433173,7.503148035622173,1308.796543945641,4.991608535506142e-05,3.755534328520298,4.83693983219564,5.700849529355764,0.5065008951351047,0.020225404790609844,0.03,0.0,1249.2,297.21,B0-offline-n100-c32-rep2
64,True,10.418726869858801,9.310158641418976,1618.623869369996,4.02278620808437e-05,5.460322259925306,7.256591511890292,8.044216769747436,1.1653938349336386,0.027318516684075197,0.03,0.0,1224.75,304.171,B0-offline-n100-c64-rep2
