concurrency,valid,wall_s,queries_per_s,output_tok_per_s,usd_per_attempted,e2e_p50,e2e_p95,e2e_p99,ttft_p95,tpot_p50,workflow_failure_rate,infra_failure_rate,sm_clock_mhz_mean,power_w_mean,run_dir
1,True,202.74149744026363,0.4833741549574725,84.30439853605223,0.0007828074484499067,1.998461821116507,2.72022317443043,3.062088852748275,0.04281445685774088,0.011430481227026099,0.02,0.0,1336.4960629921259,298.5460892388451,B0-offline-n100-c1-rep1
2,True,105.39834948070347,0.9298058317122131,161.567994981911,0.00040695473827271613,2.0487643219530582,2.9959465386345983,3.209236086346209,0.06024886853992939,0.01187288490672634,0.02,0.0,1343.560606060606,296.1682323232323,B0-offline-n100-c2-rep1
4,True,56.29804848320782,1.7407352943900132,304.7174895434763,0.00021737302053238578,2.187579408288002,3.099564996547997,3.4006651304662228,0.07261770870536566,0.012467637767193016,0.02,0.0,1347.0283018867924,294.9379245283019,B0-offline-n100-c4-rep1
8,True,30.2714091707021,3.237378195622567,563.4689783952463,0.00011688127429798867,2.314980486407876,3.1368991462513804,3.5923061687499285,0.0924817556515336,0.01318288662337831,0.02,0.0,1305.2631578947369,294.97052631578947,B0-offline-n100-c8-rep1
16,True,18.16791876219213,5.3941236353357285,933.458599302639,7.014835299846406e-05,2.7297051586210728,3.7820506962016225,4.280317290686071,0.23098772298544645,0.015325774886567174,0.02,0.0,1291.2857142857142,292.2482857142857,B0-offline-n100-c16-rep1
32,True,12.827486652880907,7.561886644272197,1321.459180485134,4.952835124306795e-05,3.707830948755145,5.019863678142428,5.979092922993004,0.5980726005509496,0.020042579975866136,0.03,0.0,1266.25,292.90416666666664,B0-offline-n100-c32-rep1
64,True,10.178359355777502,9.530023121549572,1665.9855883723308,3.9299776401474244e-05,5.348079321905971,7.378099111840129,8.118113864213228,1.163469897583127,0.028194817215252934,0.03,0.0,1241.842105263158,284.8905263157895,B0-offline-n100-c64-rep1
